textid,title,poet_last,poet_first,poet_mid1,poet_mid2,poet_mid3,poet_title,poet_gndr,poet_id,cat_id
2,Overture,Landor,Walter,Savage,,,,M,37,1a
3,The Hamadryad,Landor,Walter,Savage,,,,M,37,1a
4,The Death of Artemidora,Landor,Walter,Savage,,,,M,37,1a
5,From “Myrtis”,Landor,Walter,Savage,,,,M,37,1a
6,Little Aglaë,Landor,Walter,Savage,,,,M,37,1a
7,To a Cyclamen,Landor,Walter,Savage,,,,M,37,1a
8,Dirce,Landor,Walter,Savage,,,,M,37,1a
9,An Invocation,Landor,Walter,Savage,,,,M,37,1a
10,From “Gebir”,Landor,Walter,Savage,,,,M,37,1a
11,To Youth,Landor,Walter,Savage,,,,M,37,1a
12,To Age,Landor,Walter,Savage,,,,M,37,1a
13,Rose Aylmer,Landor,Walter,Savage,,,,M,37,1a
14,"Rose Aylmer’s Hair, Given by Her Sister",Landor,Walter,Savage,,,,M,37,1a
15,Child of a Day,Landor,Walter,Savage,,,,M,37,1a
16,Fiesolan Idyl,Landor,Walter,Savage,,,,M,37,1a
17,Farewell to Italy,Landor,Walter,Savage,,,,M,37,1a
18,The Maid’s Lament,Landor,Walter,Savage,,,,M,37,1a
19,Margaret,Landor,Walter,Savage,,,,M,37,1a
20,On Music,Landor,Walter,Savage,,,,M,37,1a
21,Plays,Landor,Walter,Savage,,,,M,37,1a
22,There Falls with Every Wedding Chime,Landor,Walter,Savage,,,,M,37,1a
23,Shakespeare and Milton,Landor,Walter,Savage,,,,M,37,1a
24,Macaulay,Landor,Walter,Savage,,,,M,37,1a
25,Robert Browning,Landor,Walter,Savage,,,,M,37,1a
26,On the Death of M. D’Ossoli and His Wife Margaret Fuller,Landor,Walter,Savage,,,,M,37,1a
27,To Ianthe,Landor,Walter,Savage,,,,M,37,1a
28,Ianthe’s Troubles,Landor,Walter,Savage,,,,M,37,1a
29,The Appeal,Landor,Walter,Savage,,,,M,37,1a
30,The Test,Landor,Walter,Savage,,,,M,37,1a
31,In after Time,Landor,Walter,Savage,,,,M,37,1a
32,A Prophecy,Landor,Walter,Savage,,,,M,37,1a
33,Cowslips,Landor,Walter,Savage,,,,M,37,1a
34,Wrinkles,Landor,Walter,Savage,,,,M,37,1a
35,Advice,Landor,Walter,Savage,,,,M,37,1a
36,How to Read Me,Landor,Walter,Savage,,,,M,37,1a
37,Time to Be Wise,Landor,Walter,Savage,,,,M,37,1a
38,The One White Hair,Landor,Walter,Savage,,,,M,37,1a
39,On Himself,Landor,Walter,Savage,,,,M,37,1a
40,On Lucretia Borgia’s Hair,Landor,Walter,Savage,,,,M,37,1a
41,Persistence,Landor,Walter,Savage,,,,M,37,1a
42,Man,Landor,Walter,Savage,,,,M,37,1a
43,To Sleep,Landor,Walter,Savage,,,,M,37,1a
44,On Living Too Long,Landor,Walter,Savage,,,,M,37,1a
45,A Thought,Landor,Walter,Savage,,,,M,37,1a
46,Heartsease,Landor,Walter,Savage,,,,M,37,1a
47,Verses Why Burnt,Landor,Walter,Savage,,,,M,37,1a
48,Death Undreaded,Landor,Walter,Savage,,,,M,37,1a
49,Memory,Landor,Walter,Savage,,,,M,37,1a
50,For an Epitaph at Fiesole,Landor,Walter,Savage,,,,M,37,1a
51,The Flower of Beauty,Darley,George,,,,,M,230,1a
52,Summer Winds,Darley,George,,,,,M,230,1a
53,"Songs from “Sylvia; Or, the May Queen.” I. Chorus of Spirits",Darley,George,,,,,M,230,1a
54,"Songs from “Sylvia; Or, the May Queen.” II. Morning-Song",Darley,George,,,,,M,230,1a
55,"Songs from “Sylvia; Or, the May Queen.” III. Nephon’s Song",Darley,George,,,,,M,230,1a
