poet_last,poet_first,poet_mid1,poet_mid2,poet_mid3,poet_title,poet_gndr,poet_id
Adams,Sarah,Flower,NA,NA,NA,F,170
Addleshaw,Percy,NA,NA,NA,NA,M,171
Aïdé,Hamilton,NA,NA,NA,NA,M,172
Aird,Thomas,NA,NA,NA,NA,M,173
Alexander,Cecil,Frances,NA,NA,NA,M,174
Alford,Henry,NA,NA,NA,NA,M,175
Allingham,William,NA,NA,NA,NA,M,57
Anderson,Alexander,NA,NA,NA,NA,M,80
Anonymous,NA,NA,NA,NA,NA,U,35
Arnold,Edwin,NA,NA,NA,Sir,M,176
Arnold,Matthew,NA,NA,NA,NA,M,7
Ashby-Sterry,Joseph,NA,NA,NA,NA,M,177
Ashe,Thomas,NA,NA,NA,NA,M,36
Austin,Alfred,NA,NA,NA,NA,M,14
Aytoun,William,Edmondstoune,NA,NA,NA,M,178
Bailey,Philip,James,NA,NA,NA,M,179
Ballantine,James,NA,NA,NA,NA,M,180
Banim,John,NA,NA,NA,NA,M,181
Barham,Richard,Harris,NA,NA,NA,M,182
Baring-Gould,Sabine,NA,NA,NA,NA,M,23
Barlow,George,NA,NA,NA,NA,M,183
Barlow,Jane,NA,NA,NA,NA,F,83
Barnes,William,NA,NA,NA,NA,M,42
Bayly,Thomas,Haynes,NA,NA,NA,M,184
Beatty,Pakenham,NA,NA,NA,NA,M,185
Beddoes,Thomas,Lovell,NA,NA,NA,M,84
Beeching,Henry,Charles,NA,NA,NA,M,186
Bell,Mackenzie,NA,NA,NA,NA,M,187
Bennett,William,Cox,NA,NA,NA,M,188
Benson,Arthur,Christopher,NA,NA,NA,M,189
Blackie,John,Stuart,NA,NA,NA,M,190
Blackwood,Helen,Selina,NA,NA,Lady Dufferin,F,191
Blaikie,John,Arthur,NA,NA,NA,M,192
Blanchard,Laman,NA,NA,NA,NA,M,193
Bland,Edith,Nesbit,NA,NA,NA,F,194
Blew,William,John,NA,NA,NA,M,195
Blind,Mathilde,NA,NA,NA,NA,F,91
Blunt,Wilfrid,Scawen,NA,NA,NA,M,196
Bonar,Horatius,NA,NA,NA,NA,M,197
Bourdillon,Francis,William,NA,NA,NA,M,198
Bowring,John,NA,NA,NA,Sir,M,199
Bridges,Robert,Seymour,NA,NA,NA,M,70
Brontë,Anne,NA,NA,NA,NA,F,52
Brontë,Emily,NA,NA,NA,NA,F,5
Brooke,Stopford,Augustus,NA,NA,NA,M,200
Brough,Robert,Barnabas,NA,NA,NA,M,201
Brown,Ford,Madox,NA,NA,NA,M,202
Brown,Oliver,Madox,NA,NA,NA,M,203
Browning,Elizabeth,Barrett,NA,NA,NA,F,2
Browning,Robert,NA,NA,NA,NA,M,4
Buchanan,Robert,NA,NA,NA,NA,M,418
Bulwer-Lytton,Robert,NA,NA,NA,1st earl of Lytton,M,205
Burbidge,Thomas,NA,NA,NA,NA,M,206
Byron,Mary,C.,G.,NA,NA,F,207
Call,Wathen,Mark,Wilks,NA,NA,M,208
Calverley,Charles,Stuart,NA,NA,NA,M,209
Cameron,George,Frederick,NA,NA,NA,M,210
Campbell,William,Wilfred,NA,NA,NA,M,211
Canton,William,NA,NA,NA,NA,M,95
Carlyle,Jane,Welsh,NA,NA,NA,F,212
Carlyle,Thomas,NA,NA,NA,NA,M,213
Carman,Bliss,NA,NA,NA,NA,M,214
Carnegie,James,NA,NA,NA,9th Earl of Southesk,M,377
Carroll,Lewis,NA,NA,NA,NA,M,66
Castilla,Ethel,NA,NA,NA,NA,F,215
Clarke,Herbert,Edwin,NA,NA,NA,M,216
Clephane,Elizabeth,Cecilia,NA,NA,NA,F,217
Clough,Arthur,Hugh,NA,NA,NA,M,6
Coleridge,Hartley,NA,NA,NA,NA,M,97
Coleridge,Sara,NA,NA,NA,NA,F,218
Collins,Mortimer,NA,NA,NA,NA,M,60
Cook,Eliza,NA,NA,NA,NA,F,219
Cooper,Thomas,NA,NA,NA,NA,M,220
Cory,William,Johnson,NA,NA,NA,M,99
Cotterell,George,NA,NA,NA,NA,M,222
Courthope,William,John,NA,NA,NA,M,223
Craigmyle,Elizabeth,NA,NA,NA,NA,F,224
Craik,Dinah,Maria,Mulock,NA,NA,F,225
Crane,Walter,NA,NA,NA,NA,M,226
Crawford,Isabella,Valancey,NA,NA,NA,F,227
Crawford,Louisa,Macartney,NA,NA,NA,F,228
Custance,Olive,NA,NA,NA,NA,F,229
Darley,George,NA,NA,NA,NA,M,230
Davidson,John,NA,NA,NA,NA,M,27
Davis,Thomas,Osborne,NA,NA,NA,M,231
Dawson,William,James,NA,NA,NA,M,232
De Vere,Aubrey,Thomas,NA,NA,NA,M,233
Disraeli,Benjamin,NA,NA,NA,1st earl of Beaconsfield,M,234
Dixon,Richard,Watson,NA,NA,NA,M,100
Dobell,Sydney,NA,NA,NA,NA,M,58
