division,subcategory,title
I. Early Years of the Reign ,1a,Distinctive Poets and Dramatists
I. Early Years of the Reign ,1b,Poets of Quality
I. Early Years of the Reign ,1c,The Roisterers
I. Early Years of the Reign ,1d,Meditative Poets
I. Early Years of the Reign ,1e,English Song Writers
I. Early Years of the Reign ,1f,Songs and Balladry of Scotland
I. Early Years of the Reign ,1g,Irish Minstrelsy
I. Early Years of the Reign ,1h,The Oaten Flute
I. Early Years of the Reign ,1i,"Poets of the New Day (Humanity--Free Thought--Political, Social, and Artisitc Reform)"
I. Early Years of the Reign ,1j,The Rhapsodists
I. Early Years of the Reign ,1k,Early Hymnody
"II. The Victorian Epoch (Period of Tennyson, Arnold, Browning, Rossetti, and Swinburne)",2a,Composite Idyllic School
"II. The Victorian Epoch (Period of Tennyson, Arnold, Browning, Rossetti, and Swinburne)",2b,Balladists and Lyrists
"II. The Victorian Epoch (Period of Tennyson, Arnold, Browning, Rossetti, and Swinburne)",2c,"Various Distinctive Poets   (NB CR is here, not with PreRs)"
"II. The Victorian Epoch (Period of Tennyson, Arnold, Browning, Rossetti, and Swinburne)",2d,Poets of the Renaissance 
"II. The Victorian Epoch (Period of Tennyson, Arnold, Browning, Rossetti, and Swinburne)",2e,Dramatists and Playwrights
"II. The Victorian Epoch (Period of Tennyson, Arnold, Browning, Rossetti, and Swinburne)",2f,Elegantiae
"II. The Victorian Epoch (Period of Tennyson, Arnold, Browning, Rossetti, and Swinburne)",2g,The Land of Wonder-Wander
III. Close of the Era (Intermediary Period),3a,Recent Poets of Great Britain 
IV. Colonial Poets (India--Australasia -- Dominion of Canada),**,"India  (a note crossreferences Toru Dutt, Rudyard Kipling, Edwin Arnold, and Alfred Lyall in the earlier sections)"
IV. Colonial Poets (India--Australasia -- Dominion of Canada),4a,"Australasia (see also Domett, Horne, Sharp, and Sladen)"
IV. Colonial Poets (India--Australasia -- Dominion of Canada),4b,Dominion of Canada
